name,name_en,amenity,building,healthcare,healthca_1,operator_t,capacity_p,addr_full,addr_city,source,name_ro,osm_id,osm_type,longitude,latitude
Dispensar,,hospital,,hospital,,,,,,,,10784047163,nodes,24.4271503,47.8251265
,,pharmacy,,pharmacy,,,,,,,,2318589423,nodes,24.7017287,46.781545
Medifarm,,pharmacy,,pharmacy,,,,,Reghin,,,10148212726,nodes,24.7000964,46.7804127
ROPHARMA,,pharmacy,,,,,,,,,,11190371264,nodes,24.7003958,46.778402
Farmacia Dona,,pharmacy,,pharmacy,,,,,,,,2316155645,nodes,24.6999181,46.7788776
Dispensar Brancovenesti,,doctors,,,,,,,,,,2317958893,nodes,24.7625744,46.8579811
Help Net,,pharmacy,,pharmacy,,,,,,,,7077122559,nodes,26.2729299,47.6584747
Sensiblu,,pharmacy,,pharmacy,,,,,,,,7077122558,nodes,26.2727261,47.6593599
Cabinet Medical,,doctors,,,,,,,,,,10175975874,nodes,20.6194335,46.0734986
Sensiblu,,pharmacy,,pharmacy,,,,,,,,9293132907,nodes,26.9235476,46.9368078
Catena,,pharmacy,,,,,,,,,,4061045978,nodes,26.9141248,46.5494747
Act Med,,pharmacy,,pharmacy,,,,,,,,6579663198,nodes,26.9103483,46.5654013
Farmacia Dona,,pharmacy,,pharmacy,,,,,Bacau,,,10587201386,nodes,26.9112597,46.5661359
Larafarm,,pharmacy,,pharmacy,,,,,,,,6763110038,nodes,27.579204,47.1495955
Dr.Max,,pharmacy,,pharmacy,,,,,,,,7973901259,nodes,27.5704173,47.1537097
Uzina de zambete,,dentist,,,,,,,Iasi,,,4002226411,nodes,27.5816843,47.1480789
Farmacia Cuza Voda,,pharmacy,,pharmacy,,,,,,,,708853767,nodes,27.5846199,47.1644873
Spitalul Clinic de Pneumoftiziologie,,hospital,,,,,,,,,,302906140,nodes,27.5846724,47.1696324
Ester Farm 1,,pharmacy,,,,,,,,,,603827776,nodes,27.5725253,47.1664751
Sensiblu,,pharmacy,,pharmacy,,,,,,,,653146613,nodes,27.5372649,47.1747355
Catena,,pharmacy,,pharmacy,,,,,Vaslui,,,10588168157,nodes,27.7243213,46.6360371
Spitalul Vechi,,hospital,,,,,,,,,,1894803668,nodes,27.7262893,46.6331916
Recumed Clinic,,clinic,,clinic,,,,,Vaslui,,,10587447665,nodes,27.7286478,46.6328063
PlantaGo,,pharmacy,,pharmacy,,,,,Vaslui,,,10587447666,nodes,27.7279865,46.6327824
Dr. Max,,pharmacy,,pharmacy,,,,,Vaslui,,,10589792134,nodes,27.7328837,46.6378643
Farmacia Dona,,pharmacy,,pharmacy,,,,,Vaslui,,,10588168156,nodes,27.7245223,46.63586
Medimfarm,,pharmacy,,pharmacy,,,,,Vaslui,,,10588238548,nodes,27.7236988,46.6371303
Ropharma,,pharmacy,,pharmacy,,,,,Vaslui,,,10587447670,nodes,27.726913,46.6337849
Farmacia Biamafarm,,pharmacy,,pharmacy,,,,,Vaslui,,,10587275665,nodes,27.7332478,46.6302366
Fildas Trading Depozit Medicamente,,pharmacy,,,,,,,,,,1140837566,nodes,27.5733665,47.176192
Panax,,pharmacy,,,,,,,,,,565345502,nodes,27.6927253,47.1322593
,,pharmacy,,,,,,,,,,565342591,nodes,27.6920361,47.1326228
Spitalul de Pneumoftiziologie Sectia Exterioara Doctor Clunet,,hospital,,,,,,,,,,302085210,nodes,27.6490948,47.0992465
Dentissimo,,dentist,,dentist,,,,,,,,8235290029,nodes,26.9170308,46.5732914
Dr. Max,,pharmacy,,pharmacy,,,,,,,,11010467478,nodes,26.9256632,46.5563999
Synevo Analize,,clinic,,clinic,,,,,,,,4061045983,nodes,26.9122466,46.555185
Clinica Palade,,clinic,,clinic,,,,,,,,4553314189,nodes,26.9150797,46.5555752
Catena,,pharmacy,,pharmacy,,,,,Bacau,,,10587187271,nodes,26.9126869,46.5621248
Cabinet dentar Dr Axinte Adrian,,dentist,,dentist,,,,,,,,4999996345,nodes,26.9316976,46.9317724
Sfanta Maria,,,,laboratory,,,,,Bacau,,,10587201392,nodes,26.9111445,46.5666154
AKY - CASTILLO MOB,,pharmacy,,pharmacy,,,,,,,AKY - CASTILLO MOB,4468385490,nodes,26.9271775,46.9253269
Farmacia Dobrovat,,pharmacy,,,,,,,,,,2344126777,nodes,27.7235537,46.9658695
Spitalul Judetean Vaslui,,hospital,,,general;gynaecology;ophthalmology;internal;paediatrics;orthopaedics;otolaryngology;psychiatry;dermatology;radiology;urology;surgery;community;orthodontics;cardiology;neurology;clinic;dermatovenereology;osteopathy,,,,Vaslui,Vaslui,,1894763015,nodes,27.7362613,46.655443
Catena,,pharmacy,,pharmacy,,,,,Vaslui,,,10605779705,nodes,27.7354665,46.6431356
Farmacia Sf. Spiridon,,pharmacy,,pharmacy,,,,,Vaslui,,,10605779708,nodes,27.735653,46.6434214
Mediclinic,,clinic,,clinic,,,,,Vaslui,,,10591235634,nodes,27.7347522,46.6421515
,,hospital,,,,,,,,,,2390448434,nodes,27.7235166,46.9659571
,,hospital,,,,,,,,,,3498459501,nodes,27.5603727,46.9743744
Policlinica Municipala,,hospital,,,,,,,,,,482019310,nodes,25.3557388,47.3477065
Spitalul Municipal,,hospital,,hospital,,,,,Vatra Dornei,,,479888882,nodes,25.3583204,47.3478745
Sectia de boli infectioase,,hospital,,,,,,,,,,482248351,nodes,25.3596782,47.3533083
,,dentist,,,,,,,Vatra Dornei,,,4313418456,nodes,25.3516952,47.3463349
Farmacia Catena,,pharmacy,,pharmacy,,,,,,,,480760372,nodes,25.3555643,47.3467534
Dispensarul Uman Saru Dornei,,hospital,,,,,,,Saru Dornei,,,5007277285,nodes,25.3715301,47.2903079
